overlay,mode,year,return,max_drawdown,sharpe
none,static_score,2022,-29.37%,-26.31%,-2.00
none,static_score,2023,95.30%,-18.09%,2.03
none,static_score,2024,175.26%,-31.22%,2.25
none,static_score,2025,20.92%,-28.65%,0.71
none,static_score,2026,-0.20%,-20.55%,0.13
none,dynamic_score,2022,-29.35%,-26.17%,-1.99
none,dynamic_score,2023,89.59%,-19.40%,1.91
none,dynamic_score,2024,185.81%,-32.11%,2.27
none,dynamic_score,2025,21.81%,-27.61%,0.73
none,dynamic_score,2026,4.65%,-18.32%,0.63
none,dynamic_sqrt_score,2022,-28.64%,-25.46%,-1.97
none,dynamic_sqrt_score,2023,86.60%,-18.72%,1.92
none,dynamic_sqrt_score,2024,175.52%,-30.99%,2.31
none,dynamic_sqrt_score,2025,21.92%,-27.24%,0.75
none,dynamic_sqrt_score,2026,3.54%,-18.85%,0.52
top2,static_score,2022,-0.59%,-2.17%,-0.25
top2,static_score,2023,70.04%,-16.83%,1.68
top2,static_score,2024,80.48%,-35.18%,1.43
top2,static_score,2025,21.07%,-23.90%,0.77
top2,static_score,2026,5.77%,-16.11%,0.80
top2,dynamic_score,2022,-0.59%,-2.17%,-0.25
top2,dynamic_score,2023,66.50%,-16.68%,1.63
top2,dynamic_score,2024,87.37%,-34.98%,1.49
top2,dynamic_score,2025,23.29%,-24.24%,0.82
top2,dynamic_score,2026,5.77%,-16.11%,0.80
top2,dynamic_sqrt_score,2022,-0.59%,-2.17%,-0.25
top2,dynamic_sqrt_score,2023,58.54%,-17.95%,1.53
top2,dynamic_sqrt_score,2024,87.18%,-35.19%,1.52
top2,dynamic_sqrt_score,2025,25.89%,-23.72%,0.90
top2,dynamic_sqrt_score,2026,5.63%,-16.11%,0.79
top3,static_score,2022,-0.59%,-2.17%,-0.25
top3,static_score,2023,83.93%,-17.18%,1.96
top3,static_score,2024,164.84%,-29.68%,2.13
top3,static_score,2025,20.54%,-25.47%,0.77
top3,static_score,2026,4.48%,-15.52%,0.65
top3,dynamic_score,2022,-0.59%,-2.17%,-0.25
top3,dynamic_score,2023,81.47%,-16.80%,1.93
top3,dynamic_score,2024,166.10%,-30.28%,2.12
top3,dynamic_score,2025,25.75%,-24.14%,0.90
top3,dynamic_score,2026,5.14%,-15.52%,0.73
top3,dynamic_sqrt_score,2022,-0.59%,-2.17%,-0.25
top3,dynamic_sqrt_score,2023,76.02%,-17.73%,1.90
top3,dynamic_sqrt_score,2024,165.09%,-29.13%,2.19
top3,dynamic_sqrt_score,2025,26.33%,-23.18%,0.94
top3,dynamic_sqrt_score,2026,5.14%,-15.52%,0.74
top4,static_score,2022,-0.59%,-2.17%,-0.25
top4,static_score,2023,81.91%,-15.35%,1.92
top4,static_score,2024,175.25%,-28.09%,2.24
top4,static_score,2025,10.88%,-30.02%,0.49
top4,static_score,2026,-0.12%,-16.02%,0.12
top4,dynamic_score,2022,-0.59%,-2.17%,-0.25
top4,dynamic_score,2023,78.09%,-15.22%,1.86
top4,dynamic_score,2024,176.74%,-29.22%,2.22
top4,dynamic_score,2025,18.86%,-27.16%,0.71
top4,dynamic_score,2026,2.19%,-16.02%,0.39
top4,dynamic_sqrt_score,2022,-0.59%,-2.17%,-0.25
top4,dynamic_sqrt_score,2023,74.00%,-15.99%,1.87
top4,dynamic_sqrt_score,2024,169.29%,-27.89%,2.27
top4,dynamic_sqrt_score,2025,19.33%,-25.56%,0.74
top4,dynamic_sqrt_score,2026,2.22%,-16.02%,0.39
top5,static_score,2022,-0.59%,-2.17%,-0.25
top5,static_score,2023,89.65%,-15.98%,2.07
top5,static_score,2024,145.43%,-29.91%,2.03
top5,static_score,2025,12.76%,-30.92%,0.53
top5,static_score,2026,1.48%,-16.02%,0.30
top5,dynamic_score,2022,-0.59%,-2.17%,-0.25
top5,dynamic_score,2023,82.02%,-15.65%,1.94
top5,dynamic_score,2024,156.03%,-31.05%,2.08
top5,dynamic_score,2025,16.80%,-29.72%,0.64
top5,dynamic_score,2026,3.05%,-16.02%,0.49
top5,dynamic_sqrt_score,2022,-0.59%,-2.17%,-0.25
top5,dynamic_sqrt_score,2023,78.45%,-15.34%,1.98
top5,dynamic_sqrt_score,2024,150.06%,-29.81%,2.13
top5,dynamic_sqrt_score,2025,16.61%,-28.17%,0.65
top5,dynamic_sqrt_score,2026,3.06%,-16.02%,0.49
