overlay,mode,leader,days,share
none,static_score,NVDA,557,72.72%
none,static_score,GOOGL,104,13.58%
none,static_score,TSLA,47,6.14%
none,static_score,META,39,5.09%
none,static_score,MSFT,9,1.17%
none,static_score,AAPL,7,0.91%
none,static_score,AMZN,3,0.39%
none,dynamic_score,NVDA,550,71.80%
none,dynamic_score,GOOGL,80,10.44%
none,dynamic_score,TSLA,61,7.96%
none,dynamic_score,META,52,6.79%
none,dynamic_score,AAPL,11,1.44%
none,dynamic_score,MSFT,9,1.17%
none,dynamic_score,AMZN,3,0.39%
none,dynamic_sqrt_score,NVDA,496,64.75%
none,dynamic_sqrt_score,GOOGL,106,13.84%
none,dynamic_sqrt_score,TSLA,87,11.36%
none,dynamic_sqrt_score,META,54,7.05%
none,dynamic_sqrt_score,AAPL,11,1.44%
none,dynamic_sqrt_score,MSFT,9,1.17%
none,dynamic_sqrt_score,AMZN,3,0.39%
top2,static_score,NVDA,415,56.85%
top2,static_score,GOOGL,138,18.90%
top2,static_score,TSLA,79,10.82%
top2,static_score,META,62,8.49%
top2,static_score,MSFT,22,3.01%
top2,static_score,AAPL,11,1.51%
top2,static_score,AMZN,3,0.41%
top2,dynamic_score,NVDA,413,56.58%
top2,dynamic_score,GOOGL,117,16.03%
top2,dynamic_score,TSLA,102,13.97%
top2,dynamic_score,META,62,8.49%
top2,dynamic_score,MSFT,23,3.15%
top2,dynamic_score,AAPL,11,1.51%
top2,dynamic_score,AMZN,2,0.27%
top2,dynamic_sqrt_score,NVDA,412,56.44%
top2,dynamic_sqrt_score,GOOGL,118,16.16%
top2,dynamic_sqrt_score,TSLA,101,13.84%
top2,dynamic_sqrt_score,META,63,8.63%
top2,dynamic_sqrt_score,MSFT,23,3.15%
top2,dynamic_sqrt_score,AAPL,11,1.51%
top2,dynamic_sqrt_score,AMZN,2,0.27%
top3,static_score,NVDA,477,64.90%
top3,static_score,GOOGL,128,17.41%
top3,static_score,TSLA,51,6.94%
top3,static_score,META,46,6.26%
top3,static_score,MSFT,19,2.59%
top3,static_score,AAPL,12,1.63%
top3,static_score,AMZN,2,0.27%
top3,dynamic_score,NVDA,471,64.08%
top3,dynamic_score,GOOGL,100,13.61%
top3,dynamic_score,TSLA,82,11.16%
top3,dynamic_score,META,48,6.53%
top3,dynamic_score,MSFT,19,2.59%
top3,dynamic_score,AAPL,13,1.77%
top3,dynamic_score,AMZN,2,0.27%
top3,dynamic_sqrt_score,NVDA,457,62.18%
top3,dynamic_sqrt_score,GOOGL,108,14.69%
top3,dynamic_sqrt_score,TSLA,86,11.70%
top3,dynamic_sqrt_score,META,50,6.80%
top3,dynamic_sqrt_score,MSFT,19,2.59%
top3,dynamic_sqrt_score,AAPL,13,1.77%
top3,dynamic_sqrt_score,AMZN,2,0.27%
top4,static_score,NVDA,508,69.02%
top4,static_score,GOOGL,121,16.44%
top4,static_score,TSLA,39,5.30%
top4,static_score,META,37,5.03%
top4,static_score,MSFT,19,2.58%
top4,static_score,AAPL,10,1.36%
top4,static_score,AMZN,2,0.27%
top4,dynamic_score,NVDA,502,68.21%
top4,dynamic_score,GOOGL,87,11.82%
top4,dynamic_score,TSLA,72,9.78%
top4,dynamic_score,META,41,5.57%
top4,dynamic_score,MSFT,19,2.58%
top4,dynamic_score,AAPL,13,1.77%
top4,dynamic_score,AMZN,2,0.27%
top4,dynamic_sqrt_score,NVDA,471,63.99%
top4,dynamic_sqrt_score,GOOGL,107,14.54%
top4,dynamic_sqrt_score,TSLA,81,11.01%
top4,dynamic_sqrt_score,META,43,5.84%
top4,dynamic_sqrt_score,MSFT,19,2.58%
top4,dynamic_sqrt_score,AAPL,13,1.77%
top4,dynamic_sqrt_score,AMZN,2,0.27%
top5,static_score,NVDA,528,71.74%
top5,static_score,GOOGL,112,15.22%
top5,static_score,TSLA,37,5.03%
top5,static_score,META,28,3.80%
top5,static_score,MSFT,19,2.58%
top5,static_score,AAPL,10,1.36%
top5,static_score,AMZN,2,0.27%
top5,dynamic_score,NVDA,522,70.92%
top5,dynamic_score,GOOGL,80,10.87%
top5,dynamic_score,TSLA,65,8.83%
top5,dynamic_score,META,37,5.03%
top5,dynamic_score,MSFT,19,2.58%
top5,dynamic_score,AAPL,11,1.49%
top5,dynamic_score,AMZN,2,0.27%
top5,dynamic_sqrt_score,NVDA,478,64.95%
top5,dynamic_sqrt_score,GOOGL,106,14.40%
top5,dynamic_sqrt_score,TSLA,81,11.01%
top5,dynamic_sqrt_score,META,39,5.30%
top5,dynamic_sqrt_score,MSFT,19,2.58%
top5,dynamic_sqrt_score,AAPL,11,1.49%
top5,dynamic_sqrt_score,AMZN,2,0.27%
